dummy_celebrities,dummy_entertainment,dummy_entertainmentleisurebusiness,dummy_francepolitics,dummy_jeanlucmlenchon,dummy_ligue1,dummy_nikosaliagas,dummy_politicalfigures,dummy_politics,dummy_soccer,dummy_sports,dummy_sportsfitnessbusiness,dummy_staderennaisfc,dummy_tvhosts,dummy_tvstars,hashtags_count,impression_count,mentions_count,tweet_external_urls_count,tweet_length,tweet_medias_count,tweet_period,tweet_sentiment,tweet_text,followers_count
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,52,0,3,0.0,@OlivierRegipa @opizzato Et me procurer ça à Toronto,92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4684,0,1,300,0,9,0.0,"1 seul de ces 7 chiffres serait déjà, en soi, une cata.… Cette symphonie du désastre éco. Fr. révèle un système global à bout, l’obligation de réformer brutalement les structures elles-mêmes (adm. fin. cadre juridique. Educ. Etc)- quasi intouchées depuis… tant de présidents ! https://t.co/V9FX9ZZOm6",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,388,2,0,236,0,3,0.0,"@AlexDevecchio Inouï… à peine croyable. Une très mauvaise réforme technique - seule celle de @davidlisnard répondait à nos emmerdes - votée avec ardeur par des gens résolus à mourir politiquement. Macron, renard, ne doit pas en revenir…",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5203,0,1,308,0,22,0.4588,"Avoir imaginé sans culpabilité, entre bourgeois des centre-villes, une manière d’interdire à bas-bruit aux gueux&amp;bouseux de se radiner dans nos villes, au nom de la planète, est du grand art ségrégatif #ZFE .La République,c’est l’inverse.  Liberté égalité fraternité doit demeurer https://t.co/bmCVrSMXHi",92244
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,140,0,22,-0.3182,RT @AlexandreJardin: C’est quand même bizarre au milieu d’une crise sociale sans précédent du pouvoir d’achat - inflation tragique - de tro…,92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,140,0,22,0.0,"RT @AlexandreJardin: Avant, la politique consistait à employer son temps et son pouvoir institutionnel pour agir sur le réel ; désormais, o…",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7641,0,1,303,0,14,0.0,"Avant, la politique consistait à employer son temps et son pouvoir institutionnel pour agir sur le réel ; désormais, on invente les réformes qui ne changent strictement rien, c’est moderne. Un jour, on utilisera l’énergie, le temps et l’argent de l’Etat pour l’action non fictive https://t.co/aBH3mlp0ak",92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9977,0,0,212,1,12,0.0,"Imaginez qu’un jour la pitrerie politique passe de mode… que plus personne ne supporte ca, que la démocratie devienne une affaire de gens imparfaits mais d’honneur #changeonsdeniveau #vite https://t.co/6FLaRDNPs5",92244
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,140,0,7,0.0,"RT @JardinHugo: Sur le tournage du clip de NUIT VACILLANTE : travelling à 360° 🎬
Rdv le 21 mars pour voir le résultat ! https://t.co/a7S4Xg…",92244
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,139,0,18,0.0,RT @Minitel2: WAOU ! Je suis impressionné par les moyens déployés et je comprends mieux la dame Salomon quand elle a dit qu'il y aurait un…,92244
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,1,0,180,0,6,0.0,"@PasconGhislaine Je vous comprends, c’est un politique essentiel qui s’appuie sur une façon d’être à part. Il n’a pas besoin du pouvoir, c’est le pouvoir qui a besoin de sa qualité",92244
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,139,0,1,0.5267,RT @AlexandreJardin: Papier si juste et vibrant de sincérité qui replace le politique à son juste niveau - l’art de faire confiance. Et si…,92244
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2113,3,0,303,1,1,0.0,"Quand les chiffres nationaux deviennent 1127 personnes réelles à #narbonne dans le @Midilibre : le réel se dégrade concrètement. Et le pays se serre les coudes. Merci #coluche ,merci @restosducoeur et @FranceBenevolat exemplaires. Campagne dons aujourd’hui et demain #fairesapart https://t.co/HnOTbMePQI",92244
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1942,0,1,45,0,0,0.0,Le cauchemar continue https://t.co/M9vYHUZoVc,92244
